"requirement_id","chapter_id","page","tab","control_type","visible_label","event_ids","status"
"CH01-R001","CH01","Paciente","","deep_link","/pacientes.php","CH01-E0002 | CH01-E0003","IMPLEMENTED_PARTIAL"
"CH01-R002","CH01","Pacientes","Activos","tab","Activos","CH01-E0009","IMPLEMENTED_PARTIAL"
"CH01-R003","CH01","Pacientes","Inactivos","tab","Inactivos","CH01-E0009","IMPLEMENTED_PARTIAL"
"CH01-R004","CH01","Pacientes","Carga masiva","tab","Carga masiva","CH01-E0009","IMPLEMENTED_PARTIAL"
"CH01-R005","CH01","Pacientes","","button","Excel","CH01-E0009","IMPLEMENTED_PARTIAL"
"CH01-R006","CH01","Pacientes","","button","Nuevo","CH01-E0009","IMPLEMENTED_PARTIAL"
"CH01-R007","CH01","Pacientes","","search","Buscar","CH01-E0009 | CH01-E0013","IMPLEMENTED_PARTIAL"
"CH01-R008","CH01","Pacientes","","select","Registros","CH01-E0013","IMPLEMENTED_EXACT"
"CH01-R009","CH01","Pacientes","","pagination","Anterior / 1 / 2 / 3 / Siguiente","CH01-E0013","IMPLEMENTED_EXACT"
"CH01-R010","CH01","Pacientes","","column_sort","Encabezados ordenables","CH01-E0012","IMPLEMENTED_EXACT"
"CH01-R011","CH01","Pacientes","","table_column","Acciones","CH01-E0012 | CH01-E0013","IMPLEMENTED_PARTIAL"
"CH01-R012","CH01","Pacientes","","table_column","Documento","CH01-E0012","IMPLEMENTED_PARTIAL"
"CH01-R013","CH01","Pacientes","","table_column","Nombre completo","CH01-E0012","IMPLEMENTED_PARTIAL"
"CH01-R014","CH01","Pacientes","","table_column","Edad","CH01-E0012","IMPLEMENTED_PARTIAL"
"CH01-R015","CH01","Pacientes","","table_column","Empresa","CH01-E0012","IMPLEMENTED_PARTIAL"
"CH01-R016","CH01","Pacientes","","status_badge","Triage","CH01-E0012","IMPLEMENTED_PARTIAL"
"CH01-R017","CH01","Pacientes","","notification_status","Notif. Botmaker","CH01-E0012","NEEDS_CLIENT_CONFIRMATION"
"CH01-R018","CH01","Pacientes","","status_badge","Estado","CH01-E0012","IMPLEMENTED_PARTIAL"
"CH01-R019","CH01","Pacientes","","loading_state","Cargando...","CH01-E0010 | CH01-E0011","IMPLEMENTED_PARTIAL"
"CH01-R020","CH01","Pacientes","","empty_state","No hay registros disponibles","CH01-E0011","IMPLEMENTED_PARTIAL"
"CH01-R021","CH01","Pacientes","","error_state","Error de carga","CH01-E0011","IMPLEMENTED_PARTIAL"
"CH01-R022","CH01","Shell","","sidebar_toggle","Menú","CH01-E0010 | CH01-E0014 | CH01-E0015","IMPLEMENTED_PARTIAL"
"CH01-R023","CH01","Shell","","navigation_group","Facturación / Clínica / Operaciones / Inventario / RRHH / Items y Maestros","CH01-E0014 | CH01-E0016","IMPLEMENTED_EXACT"
"CH01-R024","CH01","Shell","","active_route","Módulo activo","CH01-E0013 | CH01-E0017","IMPLEMENTED_PARTIAL"
"CH01-R025","CH01","Dashboard","","metric","Pacientes con alertas","CH01-E0018","NEEDS_CLIENT_CONFIRMATION"
"CH01-R026","CH01","Dashboard","","metric","Pacientes activos","CH01-E0018","IMPLEMENTED_PARTIAL"
"CH01-R027","CH01","Dashboard","","metric","Tratamientos actualizados","CH01-E0018","NEEDS_CLIENT_CONFIRMATION"
"CH01-R028","CH01","Dashboard","","metric","Tratamientos por finalizar","CH01-E0018","NEEDS_CLIENT_CONFIRMATION"
"CH01-R029","CH01","Dashboard","","metric","Planes de cuidado","CH01-E0018","IMPLEMENTED_PARTIAL"
"CH01-R030","CH01","Dashboard","","metric","Incidentes","CH01-E0018","NEEDS_CLIENT_CONFIRMATION"
"CH01-R031","CH01","Dashboard","","table","Pacientes con valores fuera de rango","CH01-E0019","IMPLEMENTED_PARTIAL"
"CH01-R032","CH01","Dashboard","","filter_status","Normales","CH01-E0019","NEEDS_CLIENT_CONFIRMATION"
"CH01-R033","CH01","Shell","","organization_context","Organización","CH01-E0020","IMPLEMENTED_PARTIAL"
"CH01-R034","CH01","Shell","","menu_item","Mi usuario","CH01-E0020","IMPLEMENTED_EXACT"
"CH01-R035","CH01","Shell","","button","Cerrar sesión","CH01-E0020 | CH01-E0022","IMPLEMENTED_PARTIAL"
"CH01-R036","CH01","Login","","input","Usuario / correo","CH01-E0022 | CH01-E0024","IMPLEMENTED_PARTIAL"
"CH01-R037","CH01","Login","","password","Clave","CH01-E0022 | CH01-E0023","IMPLEMENTED_PARTIAL"
"CH01-R038","CH01","Login","","password_toggle","Mostrar/ocultar clave","CH01-E0023","IMPLEMENTED_PARTIAL"
"CH01-R039","CH01","Login","","submit","Iniciar sesión","CH01-E0022 | CH01-E0023","IMPLEMENTED_PARTIAL"
"CH01-R040","CH01","Login","","link","Recuperar contraseña","CH01-E0022 | CH01-E0023","IMPLEMENTED_PARTIAL"
"CH01-R041","CH01","Login","","button","Instalar en dispositivo","CH01-E0023","IMPLEMENTED_PARTIAL"
"CH02-R001","CH02","Pacientes","","route","Pacientes","CH02-E0001 | CH02-E0003 | CH02-E0005","IMPLEMENTED_EXACT"
"CH02-R002","CH02","Pacientes","","directory","Activos / Inactivos / Carga masiva / Excel / Nuevo","CH02-E0006 | CH02-E0008","IMPLEMENTED_PARTIAL"
"CH02-R003","CH02","Paciente nuevo","","form","Datos del paciente / Información de seguro / Información de contactos / Información de dirección","CH02-E0009 | CH02-E0011 | CH02-E0068 | CH02-E0071 | CH02-E0082","IMPLEMENTED_EXACT"
"CH02-R004","CH02","Paciente nuevo","","required_fields","Campos marcados con *","CH02-E0011 | CH02-E0066 | CH02-E0071","IMPLEMENTED_EXACT"
"CH02-R005","CH02","Paciente nuevo","","input","Tipo de documento / Fecha de nacimiento","CH02-E0012 | CH02-E0014 | CH02-E0015","IMPLEMENTED_PARTIAL"
"CH02-R006","CH02","Paciente nuevo","","catalog","Sangre / Estado civil / Nacionalidad / Empresa","CH02-E0016 | CH02-E0023 | CH02-E0024 | CH02-E0025","IMPLEMENTED_PARTIAL"
"CH02-R007","CH02","Paciente nuevo","","telephone","Teléfono celular","CH02-E0013","NEEDS_CLIENT_CONFIRMATION"
"CH02-R008","CH02","Paciente nuevo","","checkbox","Botmaker / WhatsApp","CH02-E0022","NEEDS_CLIENT_CONFIRMATION"
"CH02-R009","CH02","Paciente nuevo","","conditional_section","Paciente regular / aseguradora","CH02-E0029 | CH02-E0061 | CH02-E0064","IMPLEMENTED_EXACT"
"CH02-R010","CH02","Paciente nuevo","","searchable_select","Seguro","CH02-E0031 | CH02-E0057 | CH02-E0060","IMPLEMENTED_PARTIAL"
"CH02-R011","CH02","Paciente nuevo","","data_quality","ASEG22/23/28/29","CH02-E0041 | CH02-E0058 | CH02-E0059","NEEDS_CLIENT_CONFIRMATION"
"CH02-R012","CH02","Paciente nuevo","","choice","¿Paciente es el asegurado titular?","CH02-E0062 | CH02-E0063","IMPLEMENTED_PARTIAL"
"CH02-R013","CH02","Paciente nuevo","","coverage_fields","Póliza / Certificado / Fecha efectiva / Asegurado / Agregar","CH02-E0064 | CH02-E0066","IMPLEMENTED_PARTIAL"
"CH02-R014","CH02","Paciente nuevo","","repeatable_fields","Información de contactos","CH02-E0068 | CH02-E0069","IMPLEMENTED_PARTIAL"
"CH02-R015","CH02","Paciente nuevo","","address_fields","Pegar enlace / Limpiar / Dirección / Ubicación / Comentarios / Cámara","CH02-E0071 | CH02-E0072","IMPLEMENTED_PARTIAL"
"CH02-R016","CH02","Paciente nuevo","","map","Mapa / Satellite / fullscreen / Ctrl+scroll","CH02-E0073 | CH02-E0075 | CH02-E0076","NEEDS_CLIENT_CONFIRMATION"
"CH02-R017","CH02","Paciente nuevo","","submit","Guardar","CH02-E0079 | CH02-E0082","NOT_TESTABLE"
"CH02-R018","CH02","Editar paciente","","form","Edición de paciente","CH02-E0082","NOT_TESTABLE"
"CH02-R019","CH02","Paciente nuevo","","permission","Nancy Vasquez","CH02-E0001 | CH02-E0009","NEEDS_CLIENT_CONFIRMATION"
"CH02-R020","CH02","Paciente nuevo","","print","Impresión","CH02-E0082","NOT_TESTABLE"
"CH03-R001","CH03","Shell","","navigation_group","Hospitalización / Cuentas por cobrar / Preautorizaciones & Reclamos","CH03-E0005 | CH03-E0035","IMPLEMENTED_EXACT"
"CH03-R002","CH03","Hospitalización","","tabs","Relación de pacientes por empresa / Activos / Cotizaciones / PIC Ejecución","CH03-E0009 | CH03-E0010 | CH03-E0040","IMPLEMENTED_PARTIAL"
"CH03-R003","CH03","Hospitalización","","transient_tab","Preadmisión","CH03-E0006 | CH03-E0007 | CH03-E0008 | CH03-E0036 | CH03-E0037 | CH03-E0038","NEEDS_CLIENT_CONFIRMATION"
"CH03-R004","CH03","Hospitalización","Activos","filters","Estado Administrativo / Fecha de inicio / Tipo de cuenta / Aplicar / Limpiar","CH03-E0009 | CH03-E0025 | CH03-E0040","IMPLEMENTED_PARTIAL"
"CH03-R005","CH03","Hospitalización","Activos","table","Hospitalización / DUI/NIT / Paciente / Empresa / Tipo Cuenta / Administrativo / Duración","CH03-E0010 | CH03-E0011 | CH03-E0018 | CH03-E0023 | CH03-E0025","IMPLEMENTED_PARTIAL"
"CH03-R006","CH03","Hospitalización","Activos","business_rule","Activo","CH03-E0017","NEEDS_CLIENT_CONFIRMATION"
"CH03-R007","CH03","Pacientes","Inactivos","table","Inactivos","CH03-E0026 | CH03-E0029 | CH03-E0030 | CH03-E0032 | CH03-E0034","IMPLEMENTED_PARTIAL"
"CH03-R008","CH03","Hospitalización","","loading_state","Cargando + No hay registros","CH03-E0003 | CH03-E0008 | CH03-E0038","NEEDS_CLIENT_CONFIRMATION"
"CH03-R009","CH03","Hospitalización","Cotizaciones","table","Estado / Fecha de creación / Aplicar / Limpiar / Nuevo","CH03-E0041 | CH03-E0042 | CH03-E0044","IMPLEMENTED_EXACT"
"CH03-R010","CH03","Hospitalización","Cotizaciones","status_columns","Envío preautorización / Respuesta seguro / Envío de reclamo","CH03-E0042 | CH03-E0043 | CH03-E0044","NEEDS_CLIENT_CONFIRMATION"
"CH03-R011","CH03","Hospitalización","Cotizaciones","financial_data","Creación / Total","CH03-E0042 | CH03-E0044","NEEDS_CLIENT_CONFIRMATION"
"CH03-R012","CH03","Nueva cotización","","page_route","Nueva cotización","CH03-E0045 | CH03-E0046","IMPLEMENTED_EXACT"
"CH03-R013","CH03","Nueva cotización","","form","Paciente / DUI-NIT / Teléfono / Correo / Fecha / Grupo descuento / Referido por / Giftcard / Comentarios","CH03-E0045 | CH03-E0046","IMPLEMENTED_PARTIAL"
"CH03-R014","CH03","Hospitalización","","permission","Permisos por rol","CH03-E0046","NOT_TESTABLE"
"CH03-R015","CH03","Hospitalización","","error_state","Errores y recuperación","CH03-E0046","NOT_TESTABLE"
"CH03-R016","CH03","Hospitalización","","print","Impresión / exportación","CH03-E0046","NOT_TESTABLE"
"CH04-R001","CH04","Nueva cotización","","page_route","Nueva cotización","CH04-E0005 | CH04-E0006","IMPLEMENTED_EXACT"
"CH04-R002","CH04","Nueva cotización","","searchable_select","Paciente *","CH04-E0001 | CH04-E0002 | CH04-E0004","IMPLEMENTED_PARTIAL"
"CH04-R003","CH04","Nueva cotización","","data_quality","Resultados rotulados Cotización","CH04-E0003","NEEDS_CLIENT_CONFIRMATION"
"CH04-R004","CH04","Nueva cotización","","derived_fields","DUI/NIT / Teléfono / Correo","CH04-E0005","IMPLEMENTED_EXACT"
"CH04-R005","CH04","Nueva cotización","","date_picker","Fecha * / Cancelar / Seleccionar","CH04-E0006 | CH04-E0007 | CH04-E0008","IMPLEMENTED_PARTIAL"
"CH04-R006","CH04","Nueva cotización","","select","Grupo de descuento * / Regular","CH04-E0008","IMPLEMENTED_PARTIAL"
"CH04-R007","CH04","Nueva cotización","","multi_select","Referido por *","CH04-E0021 | CH04-E0022 | CH04-E0028 | CH04-E0032 | CH04-E0033","IMPLEMENTED_EXACT"
"CH04-R008","CH04","Nueva cotización","","catalog","Canales / aseguradora / paciente recurrente / personas / VACIO","CH04-E0009 | CH04-E0012 | CH04-E0014 | CH04-E0018","NEEDS_CLIENT_CONFIRMATION"
"CH04-R009","CH04","Nueva cotización","","button","+","CH04-E0009","IMPLEMENTED_PARTIAL"
"CH04-R010","CH04","Nueva cotización","","input","Giftcard / limpiar","CH04-E0034","IMPLEMENTED_PARTIAL"
"CH04-R011","CH04","Nueva cotización","","textarea","Comentarios *","CH04-E0034","IMPLEMENTED_PARTIAL"
"CH04-R012","CH04","Nueva cotización","","tabs","Servicios / Estudios Dx / Medicamentos / Insumos / Equipos / Honorarios / Extras","CH04-E0034 | CH04-E0035","IMPLEMENTED_EXACT"
"CH04-R013","CH04","Nueva cotización","Servicios","form","Socio de negocios / Servicios / Precio / Cantidad","CH04-E0035","IMPLEMENTED_PARTIAL"
"CH04-R014","CH04","Nueva cotización","","checkbox","Solo disponibles en inventario","CH04-E0035","NEEDS_CLIENT_CONFIRMATION"
"CH04-R015","CH04","Nueva cotización","","submit","Guardar","CH04-E0035","NOT_TESTABLE"
"CH04-R016","CH04","Nueva cotización","","permission","Permisos por rol","CH04-E0035","NOT_TESTABLE"
"CH04-R017","CH04","Nueva cotización","","print","Impresión","CH04-E0035","NOT_TESTABLE"
"CH05-R001","CH05","Nueva cotización","","tabs","Servicios / Estudios Dx / Medicamentos / Insumos / Equipos / Honorarios / Extras","CH05-E0001","IMPLEMENTED_EXACT"
"CH05-R002","CH05","Nueva cotización","Servicios","select","Socio de negocios / lista de precios","CH05-E0003 | CH05-E0022","NEEDS_CLIENT_CONFIRMATION"
"CH05-R003","CH05","Nueva cotización","Servicios","loading_state","Procesando...","CH05-E0021","IMPLEMENTED_EXACT"
"CH05-R004","CH05","Nueva cotización","Servicios","searchable_select","Servicios","CH05-E0025","IMPLEMENTED_EXACT"
"CH05-R005","CH05","Nueva cotización","Servicios","derived_field","Precio","CH05-E0050","IMPLEMENTED_PARTIAL"
"CH05-R006","CH05","Nueva cotización","Servicios","number_input","Cantidad *","CH05-E0052","IMPLEMENTED_PARTIAL"
"CH05-R007","CH05","Nueva cotización","Servicios","button","Añadir","CH05-E0052 | CH05-E0054","IMPLEMENTED_EXACT"
"CH05-R008","CH05","Nueva cotización","","table","Concepto / Cantidad / Precio / Descuento / Impuesto / Total","CH05-E0054","IMPLEMENTED_EXACT"
"CH05-R009","CH05","Nueva cotización","","row_actions","Editar cantidad / eliminar línea","CH05-E0054","IMPLEMENTED_PARTIAL"
"CH05-R010","CH05","Nueva cotización","","financial_summary","Subtotal / Descuento / Impuesto / Total","CH05-E0067","NEEDS_CLIENT_CONFIRMATION"
"CH05-R011","CH05","Nueva cotización","Servicios","table_rows","Dos líneas de Servicios","CH05-E0065","IMPLEMENTED_EXACT"
"CH05-R012","CH05","Nueva cotización","Medicamentos","form","Medicamentos / Precio / Cantidad","CH05-E0071","IMPLEMENTED_EXACT"
"CH05-R013","CH05","Nueva cotización","Medicamentos","catalog_option","Conteo entre paréntesis","CH05-E0075","NEEDS_CLIENT_CONFIRMATION"
"CH05-R014","CH05","Nueva cotización","Medicamentos","empty_state","No results found","CH05-E0077","IMPLEMENTED_EXACT"
"CH05-R015","CH05","Nueva cotización","Medicamentos","derived_field","Precio de medicamento","CH05-E0079","IMPLEMENTED_PARTIAL"
"CH05-R016","CH05","Nueva cotización","Medicamentos","state_change","Añadir Invanz / restablecer compositor","CH05-E0080 | CH05-E0082","NEEDS_CLIENT_CONFIRMATION"
"CH05-R017","CH05","Nueva cotización","","checkbox","Solo disponibles en inventario","CH05-E0067","NEEDS_CLIENT_CONFIRMATION"
"CH05-R018","CH05","Nueva cotización","","link","Atrás","CH05-E0067","IMPLEMENTED_PARTIAL"
"CH05-R019","CH05","Nueva cotización","","submit","Guardar","CH05-E0067","NOT_TESTABLE"
"CH06-R001","CH06","Nueva cotización","","tabs","Servicios / Estudios Dx / Medicamentos / Insumos / Equipos / Honorarios / Extras","CH06-E0038 | CH06-E0071 | CH06-E0072","IMPLEMENTED_EXACT"
"CH06-R002","CH06","Nueva cotización","","state_change","Ledger conservado entre categorías","CH06-E0068 | CH06-E0069 | CH06-E0071","IMPLEMENTED_EXACT"
"CH06-R003","CH06","Nueva cotización","Insumos","searchable_select","Socio de negocios *","CH06-E0007 | CH06-E0009","NEEDS_CLIENT_CONFIRMATION"
"CH06-R004","CH06","Nueva cotización","Insumos","searchable_select","Insumos","CH06-E0010 | CH06-E0015 | CH06-E0025 | CH06-E0026","IMPLEMENTED_PARTIAL"
"CH06-R005","CH06","Nueva cotización","Insumos","button","Precio / Cantidad / Añadir","CH06-E0020 | CH06-E0021 | CH06-E0022 | CH06-E0036","IMPLEMENTED_EXACT"
"CH06-R006","CH06","Nueva cotización","Estudios Dx","searchable_select","Socio de negocios *","CH06-E0039 | CH06-E0040 | CH06-E0054","NEEDS_CLIENT_CONFIRMATION"
"CH06-R007","CH06","Nueva cotización","Estudios Dx","searchable_select","Estudios Dx / Precio / Cantidad / Añadir","CH06-E0055 | CH06-E0060 | CH06-E0063 | CH06-E0064 | CH06-E0065","IMPLEMENTED_EXACT"
"CH06-R008","CH06","Nueva cotización","Honorarios","searchable_select","Socio de negocios","CH06-E0072 | CH06-E0075","NEEDS_CLIENT_CONFIRMATION"
"CH06-R009","CH06","Nueva cotización","Honorarios","searchable_select","Honorarios por profesional / Precio / Cantidad","CH06-E0076 | CH06-E0078 | CH06-E0081 | CH06-E0082 | CH06-E0083","IMPLEMENTED_EXACT"
